day_name,revenue,sales_records,quantity,active_sales_days,average_selling_price,average_daily_revenue,revenue_share,record_share,quantity_share
Monday,112039.56,38,17665.06,8,6.342438689707252,14004.945,0.14559746128179368,0.14960629921259844,0.15098947128735332
Tuesday,114600.34,39,17586.49,8,6.5163850205470215,14325.0425,0.148925241816644,0.15354330708661418,0.15031790590580082
Wednesday,117800.21,40,18408.14,8,6.399354307387928,14725.02625,0.15308353151745835,0.15748031496062992,0.1573408369959445
Thursday,116200.48,38,17996.24,8,6.456931003365146,14525.06,0.15100465306830768,0.14960629921259844,0.15382018304836323
Friday,101800.28,35,16085.95,7,6.328521473708422,14542.897142857142,0.13229132929275836,0.1377952755905512,0.1374922635787708
Saturday,101600.35,35,16112.47,7,6.305696767782966,14514.335714285715,0.1320315165941538,0.1377952755905512,0.13771893933184157
Sunday,105474.67,29,13140.96,7,8.026405224580245,15067.81,0.13706626642888428,0.1141732283464567,0.11232039985192567
